"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"27","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:71 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"28","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:162 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"29","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:163 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","6759974","3952083","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"30","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:173 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","false","true","true","4905933","1965987","false","N/A","N/A","N/A","N/A","true","0"
"31","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:174 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","6961804","3711548","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"32","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:176 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"33","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:182 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","6882848","3906771","false","java.lang.AssertionError","expected:<textCliToken> but was:<null>","textCliToken","null","false","1"
"34","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:190 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","false","true","true","4970074","2090660","false","N/A","N/A","N/A","N/A","true","0"
"35","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:191 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","7574280","4385462","false","java.lang.AssertionError","expected:<textCliToken> but was:<null>","textCliToken","null","false","1"
"36","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:201 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","false","true","true","5343127","2233927","false","N/A","N/A","N/A","N/A","true","0"
"37","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:202 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","7312217","4261612","false","java.lang.AssertionError","expected:<textCliToken> but was:<null>","textCliToken","null","false","1"
"38","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:205 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","false","true","true","4870280","1799278","false","N/A","N/A","N/A","N/A","true","0"
"39","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:206 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","7623395","4407284","false","java.lang.AssertionError","expected:<textCliToken> but was:<null>","textCliToken","null","false","1"
"40","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:211 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","7389818","4359372","false","java.lang.AssertionError","expected:<textCliToken> but was:<null>","textCliToken","null","false","1"
"41","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:212 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","true","false","6695197","4160972","false","java.lang.AssertionError","expected:<textCliToken> but was:<null>","textCliToken","null","false","1"
"42","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java:217 |","3","3","com.taobao.arthas.core.util.TokenUtilsTest.testFindSecondTextToken [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"43","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:97 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"44","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:99 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"45","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:100 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","9605462","2898400","false","N/A","N/A","N/A","N/A","false","1"
"46","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:101 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","false","10637994","4927955","false","org.junit.ComparisonFailure","expected:<[@Date[2018-07-10 14:32:34,961]]> but was:<[]>","N/A","N/A","false","1"
"47","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:103 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"48","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:104 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"49","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:107 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"50","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:108 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","8723461","2626987","false","N/A","N/A","N/A","N/A","false","1"
"51","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:109 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","8694656","2232875","false","N/A","N/A","N/A","N/A","false","1"
"52","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:110 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","8500178","2224227","false","N/A","N/A","N/A","N/A","false","1"
"53","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:112 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","8211160","2259056","false","N/A","N/A","N/A","N/A","false","1"
"54","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:113 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","8459957","2462129","false","N/A","N/A","N/A","N/A","false","1"
"55","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:114 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"56","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:115 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","true","true","8942138","2956240","false","N/A","N/A","N/A","N/A","false","1"
"57","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/arthas/./core/src/main/java/com/taobao/arthas/core/view/ObjectView.java:116 |","2","2","com.taobao.arthas.core.view.ObjectViewTest.testDate [core]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
