"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:310 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","73","com.google.gson.functional.CollectionTest.testWildcardPrimitiveCollectionSerilaization [gson]","1","true","true","true","3876364","3864064","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","74","com.google.gson.functional.CustomTypeAdaptersTest.testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass [gson]","1","true","true","true","7643619","7562106","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","75","com.google.gson.DefaultMapJsonSerializerTest.testNonEmptyMapSerialization [gson]","1","true","true","true","2245592","2245769","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","76","com.google.gson.functional.EnumTest.testCollectionOfEnumsSerialization [gson]","1","true","true","true","2679853","2679960","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","77","com.google.gson.GsonTypeAdapterTest.testDeserializerForAbstractClass [gson]","1","true","true","true","5404954","5257097","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","78","com.google.gson.functional.ObjectTest.testClassWithNoFieldsSerialization [gson]","1","true","true","true","4298092","4289883","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","52","com.google.gson.functional.CircularReferenceTest.testSelfReferenceCustomHandlerSerialization [gson]","1","true","true","true","11395166","11007819","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","79","com.google.gson.functional.PrimitiveTest.testBooleanDeserialization [gson]","1","true","true","true","2312030","2312322","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","80","com.google.gson.functional.InstanceCreatorTest.testInstanceCreatorForCollectionType [gson]","1","true","true","true","2051882","1679099","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","81","com.google.gson.functional.EscapingTest.testEscapingQuotesInStringArray [gson]","1","true","true","true","542202","545182","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","82","com.google.gson.functional.NamingPolicyTest.testGsonWithNonDefaultFieldNamingPolicySerialization [gson]","1","true","true","true","3101169","3102939","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","83","com.google.gson.functional.ObjectTest.testEmptyCollectionInAnObjectDeserialization [gson]","1","true","true","true","2965543","2838027","false","N/A","N/A","N/A","N/A","false","1"
"1828","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:450 |","4","84","com.google.gson.functional.StreamingTypeAdaptersTest.testFromJsonTree [gson]","1","true","true","true","2191699","1898765","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","71","com.google.gson.functional.PrimitiveTest.testDoubleInfinitySerializationNotSupportedByDefault [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","72","com.google.gson.functional.ArrayTest.testNullsInArraySerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","73","com.google.gson.functional.CollectionTest.testWildcardPrimitiveCollectionSerilaization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","74","com.google.gson.functional.CustomTypeAdaptersTest.testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","75","com.google.gson.DefaultMapJsonSerializerTest.testNonEmptyMapSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","76","com.google.gson.functional.EnumTest.testCollectionOfEnumsSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","77","com.google.gson.GsonTypeAdapterTest.testDeserializerForAbstractClass [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","78","com.google.gson.functional.ObjectTest.testClassWithNoFieldsSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","52","com.google.gson.functional.CircularReferenceTest.testSelfReferenceCustomHandlerSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","79","com.google.gson.functional.PrimitiveTest.testBooleanDeserialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","80","com.google.gson.functional.InstanceCreatorTest.testInstanceCreatorForCollectionType [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","81","com.google.gson.functional.EscapingTest.testEscapingQuotesInStringArray [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","82","com.google.gson.functional.NamingPolicyTest.testGsonWithNonDefaultFieldNamingPolicySerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","83","com.google.gson.functional.ObjectTest.testEmptyCollectionInAnObjectDeserialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1829","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:451 |","4","84","com.google.gson.functional.StreamingTypeAdaptersTest.testFromJsonTree [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","71","com.google.gson.functional.PrimitiveTest.testDoubleInfinitySerializationNotSupportedByDefault [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
