"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"65","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:272 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","120600001","1183818","false","N/A","N/A","N/A","N/A","false","1"
"66","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:285 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","false","true","true","207591636","2053141","false","N/A","N/A","N/A","N/A","true","0"
"67","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:286 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","117982432","1565820","false","N/A","N/A","N/A","N/A","false","1"
"68","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:294 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","130534777","1630352","false","N/A","N/A","N/A","N/A","false","1"
"69","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:300 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","10000000000","10000000000","true","org.junit.runners.model.TestTimedOutException","test timed out after 10000  milliseconds","N/A","N/A","false","1"
"70","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:305 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","false","true","true","140202720","1821383","false","N/A","N/A","N/A","N/A","true","0"
"71","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:306 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","10000000000","10000000000","true","org.junit.runners.model.TestTimedOutException","test timed out after 10000  milliseconds","N/A","N/A","false","1"
"72","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:320 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","126643428","1680756","false","N/A","N/A","N/A","N/A","false","1"
"73","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:321 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","137049954","1778985","false","N/A","N/A","N/A","N/A","false","1"
"74","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:331 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"75","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:337 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"76","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:342 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","false","true","true","128533576","1390561","false","N/A","N/A","N/A","N/A","true","0"
"77","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:343 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"78","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:357 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"79","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:358 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"80","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:374 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"81","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:385 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","142806699","1675232","false","N/A","N/A","N/A","N/A","false","1"
"82","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:393 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","42737737","2452185","false","java.net.ConnectException","Connection refused (Connection refused)","N/A","N/A","false","1"
