CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
mybatis-314,mybatis-3,14,org.apache.ibatis.builder.xml.XMLConfigBuilder.mapperElement(XNode),22,1.63636364,5.45714286,0.248,3,0.13636364,36,4,2,36,14,9,0.11111111,0.05555556,0.38888889,0.25,13,27,13,0.59090909,1.22727273,0.59090909,5,109,0.95614035,1.143839046,0.284771913,0.762295902,0.899092744
mybatis-315,mybatis-3,15,"org.apache.ibatis.type.TypeHandlerRegistry.getTypeHandler(Type,JdbcType)",17,1.11764706,4.58333333,0.270,4,0.23529412,19,4,3,19,12,9,0.21052632,0.15789474,0.63157895,0.47368421,5,12,10,0.29411765,0.70588235,0.58823529,0,34,1,0.928322893,0.528904579,0.576516811,0.899528662
druid726,druid,726,"com.alibaba.druid.filter.stat.StatFilter.createSqlStat(StatementProxy,String)",16,1.1875,5.1875,0.324,2,0.125,19,3,3,19,4,4,0.15789474,0.15789474,0.21052632,0.21052632,5,13,8,0.3125,0.8125,0.5,0,43,1,1.17851334,0.244839399,0.799308258,0.899970184
jcodec242,jcodec,242,"org.jcodec.codecs.h264.decode.BlockInterpolator.getLuma23Unsafe(byte[],int,int,byte[],int,int,int,int,int,int)",12,2.16666667,3.6969697,0.308,2,0.16666667,26,5,5,26,9,9,0.19230769,0.19230769,0.34615385,0.34615385,3,11,3,0.25,0.91666667,0.25,0,100,1,1.059225768,0.384187801,0.674753708,0.902367401
opennlp105,opennlp,105,opennlp.tools.ml.perceptron.PerceptronModelWriter.sortValues(),34,1.23529412,7.82222222,0.230,4,0.11764706,42,6,4,42,10,8,0.14285714,0.0952381,0.23809524,0.19047619,6,28,13,0.17647059,0.82352941,0.38235294,0,134,1,1.19744541,0.223879453,0.818027891,0.902678176
jcodec232,jcodec,232,"org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeAC(int[],int)",16,1.125,5.21212121,0.326,2,0.125,18,0,0,18,6,4,0,0,0.33333333,0.22222222,4,13,4,0.25,0.8125,0.25,40,61,0.6039604,1.170710586,0.254966106,0.787758386,0.902777777
gson9,gson,9,com.google.gson.internal.ConstructorConstructor.newDefaultConstructor(Class<?superT>),24,6.20833333,5,0.208,3,0.125,149,7,7,149,41,34,0.04697987,0.04697987,0.27516779,0.22818792,3,16,5,0.125,0.66666667,0.20833333,0,21,1,1.16675571,0.260182103,0.781868842,0.904264744
junit4564,junit4,564,org.junit.internal.runners.MethodRoadie.runTestMethod(),19,1.47368421,5.81818182,0.306,3.5,0.18421053,28,3,3,28,11,11,0.10714286,0.10714286,0.39285714,0.39285714,7,17,9,0.36842105,0.89473684,0.47368421,53,27,0.3375,1.016924241,0.433901201,0.634472987,0.90545524
mybatis-3185,mybatis-3,185,"org.apache.ibatis.executor.resultset.DefaultResultSetHandler.getNestedQueryMappingValue(ResultSet,MetaObject,ResultMapping,ResultLoaderMap,String)",24,1.04166667,6.95121951,0.290,5,0.20833333,25,2,2,25,11,11,0.08,0.08,0.44,0.44,4,22,4,0.16666667,0.91666667,0.16666667,0,87,1,0.969709295,0.486829309,0.597497093,0.905724084
druid479,druid,479,com.alibaba.druid.filter.FilterChainImpl.resultSet_getMetaData(ResultSetProxy),12,1.16666667,3.76923077,0.314,2,0.16666667,14,2,2,14,5,5,0.14285714,0.14285714,0.35714286,0.35714286,3,7,4,0.25,0.58333333,0.33333333,2,26,0.92857143,1.052477905,0.394117751,0.664110745,0.906639654
jcodec142,jcodec,142,"org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeDC4x4(int[],int)",16,1.3125,5.41935484,0.339,2,0.125,21,0,0,21,5,5,0,0,0.23809524,0.23809524,4,13,4,0.25,0.8125,0.25,40,61,0.6039604,1.160225781,0.268913264,0.77209058,0.906815496
mybatis-3190,mybatis-3,190,"org.apache.ibatis.reflection.TypeParameterResolver.resolveTypeVar(TypeVariable<?>,Type,Class<?>)",28,1.03571429,9.21428571,0.329,4.5,0.16071429,29,5,4,29,12,10,0.17241379,0.13793103,0.4137931,0.34482759,8,26,54,0.28571429,0.92857143,1.92857143,15,81,0.84375,1.064730665,0.380440731,0.674596153,0.907362425
